title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
Gallowwalkers (2012),Action| Fantasy| Horror| Thriller| Western,15-03-2014,Japan,3.6,90 min,Wesley Snipes|Kevin Howarth|Riley Smith|Tanit Phoenix Copley|Simona Roman|Steven Elder|Patrick Bergin|Jay Grant|Hector Hugo|David De Beer|Alyssa Pridham|Dallas Page|Derek Griffiths|Alex Avant|Tommy Van der Nest,English,Namibia
Terra Formars (2016),Action| Horror| Sci-Fi,29-04-2016,Japan,4.8,108 min,Rinko Kikuchi|Rila Fukushima|Shun Oguri|Kane Kosugi|Takayuki Yamada|Emi Takei|Tomohisa Yamashita|Hideaki Itô|Eiko Koike|Masaya Katô|Mariko Shinoda|Rina Ohta|Ken'ichi Takitô|Ken Aoki,Japanese,"Reykjavík, Iceland"
Djinn (2013),Horror| Thriller,31-10-2013,United Arab Emirates,4.5,82 min,Aiysha Hart|Razane Jammal|Ahd|Paul Luebke|May Calamawy|Khalid Laith|Carol Abboud|Soumaya Akaaboune|Saoud Al Kaabi|Kristina Coker|Malik McCall|Sophia Jawad|Abdullah Al Junaibi|Ghaleb El Saadi|Ahmed Abdullah,Arabic|English,"Ras Al-Khaimah, United Arab Emirates"
Debug (2014),Horror| Sci-Fi,12-06-2015,USA,4.3,86 min,Tenika Davis|Jason Momoa|Adrian Holmes|Kjartan Hewitt|Kyle Mac|Jadyn Wong|Sidney Leeder|Adam Butcher|Jeananne Goossen|Jessica Phillips|Dylan Harman|Allison Brennan|Kate Hewlett|Nathaniel Bacon|Meher Pavri,English,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada"
Rufus (2012),Drama| Horror,13-10-2013,USA,6.2,109 min,Rory J. Saper|Christina Jastrzembska|Tom Carey|David James Elliott|Kelly Rowan|Merritt Patterson|Kristina Hughes|Rob Roy|Kim Coates|Richard Harmon|Tom Liske|Dave Brown|Nancy Sorel|Louise Handford|Jacob Stebner,English,"Dundurn, Saskatchewan, Canada"
Wrecker (2015),Action| Horror| Thriller,07-07-2017,USA,3.5,83 min,Anna Hutchison|Andrea Whitburn|Jennifer Koenig|Michael Dickson|Kurtis Maguire|Andy Nez|Lori Watt|Steve Thackray|Dylan Rhymer|Don Knodel|Dave Blattler|Celia Reid|C.J. Wallis|Ashley Evans|Aine Young,English,"British Columbia, Canada"
The Moth Diaries (2011),Drama| Fantasy| Horror| Mystery,17-05-2012,United Arab Emirates,4.9,82 min,Sarah Bolger|Anne Day-Jones|Sarah Gadon|Valerie Tian|Melissa Farman|Laurence Hamelin|Kathleen Fee|Gia Sandhu|Lily Cole|Judy Parfitt|Scott Speedman|Julian Casey|Steffi Hagel|Leif Anderson|Roxan Bourdelais,English,"Montréal, Québec, Canada"
We Go On (2016),Drama| Horror| Thriller,07-02-2017,Japan,5.8,89 min,Annette O'Toole|Clark Freeman|John Glover|Giovanna Zacarías|Laura Heisler|Jay Dunn|Dwight Augustin|David Bickford|Justin Carpenter|Norio Chalico|Cassidy Freeman|Edwin Garcia II|Tom Harrington|Clem Jeffreys|Terry Kaye,English,"Los Angeles, California, USA"
The Possession of Michael King (2014),Horror,22-08-2014,USA,5.7,83 min,Shane Johnson|Ella Anderson|Cara Pifko|Krystal Alvarez|Tomas Arana|Luke Baines|Dale Dickey|Cullen Douglas|Michael Ray Escamilla|RJ Farrington|Gabe Gomez|Patricia Healy|Erika Heidelberger|Tobias Jelinek|Shirley Jordan,English,"Los Angeles, California, USA"
Good Manners (2017),Fantasy| Horror,24-09-2017,USA,6.9,135 min,Isabél Zuaa|Marjorie Estiano|Miguel Lobo|Cida Moreira|Andréa Marquee|Felipe Kenji|Nina Medeiros|Neusa Velasco|Gilda Nomacce|Eduardo Gomes|Hugo Villavicenzio|Adriana Mendonça|Germano Melo|Naloana Lima|Clara de Cápua,Portuguese,"São Paulo, São Paulo, Brazil"
The House at the End of Time (2013),Drama| Horror| Mystery| Thriller,21-06-2013,Venezuela,6.8,101 min,Miguel Angel Pacheco|Rosmel Bustamante|Adriana Calzadilla|Simona Chirinos|Gonzalo Cubero|Alexander Da Silva|Miguel Flores|Guillermo Garcia|Amanda Key|José León|Guillermo Londoño|Héctor Mercado|Yucemar Morales|Ruddy Rodríguez|Efraín Romero,Spanish,"Caracas, Venezuela"
Whispers (2015),Drama| Horror| Thriller,21-03-2017,USA,6.7,90 min,Keeley Hazell|Craig Rees|Barbara Nedeljakova|Diane Ayala Goldner|Phil Bloomberg|Lynn Lowry|Bill Millsap|Lilja Johnson|Ramon Estevez|Leyla Gellan|Tracy Buckley|Emma Jacobs|Nina Kate|Harrison Cade|John Gulager,English,"Chulmleigh Village, Devon, England, UK"
Hansel & Gretel Get Baked (2013),Comedy| Horror,19-02-2013,USA,4.3,86 min,Molly C. Quinn|Michael Welch|Lara Flynn Boyle|Cary Elwes|Andrew James Allen|Reynaldo Gallegos|Bianca Saad|Lochlyn Munro|Yancy Butler|Eddy Martin|Joe Ordaz|Celestino Cornielle|David Tillman|Claudia Choi|Edward Zo,English,"Los Angeles, California, USA"
Absentia (2011),Drama| Horror| Mystery,11-04-2013,Argentina,5.8,87 min,Catherine Parker|Courtney Bell|Dave Levine|Justin Gordon|Morgan Peter Brown|James Flanagan|Doug Jones|Scott Graham|Connie Ventress|Ian Gregory|Mark Dumonski|Elisabeth Adwin|Erin Cipolletti|Jonathan Fisher|Brandon Valley Jones,English,"Glendale, California, USA"
Cruel Summer (2016),Drama| Horror| Thriller,27-08-2016,UK,5.7,80 min,Danny Miller|Reece Douglas|Natalie Martins|Gary Knowles|Grace Dixon|Thomas Conning|Richard Pawulski|Leah Rees|Sabrina Dickens|Josh Hopkins|Melanie Stephens,English,"Cardiff, South Glamorgan, Wales, UK"
Lumberjack Man (2015),Comedy| Horror,16-10-2015,USA,4.3,105 min,Michael Madsen|Ciara Flynn|Jarrett King|Brina Palencia|Alex Dobrenko|Chase Joliet|Adam Sessler|Andy San Dimas|Christopher Sabat|Arthur Simone|Jasmin Carina|Moon|Raven Rockette|Athena Paxton|David Nguyen,English,"Austin, Texas, USA"
Cottage Country (2013),Comedy| Crime| Horror| Romance,14-03-2013,Kuwait,5.6,91 min,Malin Akerman|Tyler Labine|Lucy Punch|Dan Petronijevic|Benjamin Ayres|Kenneth Welsh|Nancy Beatty|Sabrina Grdevich|Jim Annan|Jonathan Crombie|Earl Pastko|Bill Turnbull|Jason C. Paul|Chuck Erlichman|Beau Ferris,English,"Hamilton, Ontario, Canada"
Wer (2013),Action| Horror| Mystery| Thriller,19-08-2014,USA,5.9,89 min,A.J. Cook|Sebastian Roché|Corneliu Ulici|Vik Sahay|Stephanie Lemelin|Simon Quarterman|Oaklee Pendergast|Brian Johnson|Brian Scott O'Connor|Sarah-Jane Mee|Constantin Florescu|Alexandra Pirici|Ozana Oancea|Ionut Grama|Rudy Rosenfeld,English|French,"Bucharest, Romania"
Bound to Vengeance (2015),Horror| Thriller,08-10-2015,Italy,5.6,93 min,Tina Ivlev|Richard Tyson|Bianca Malinowski|Kristoffer Kjornes|Dustin Quick|Stephanie Charles|Ric Sarabia|Keith Johnson|Scott Vance|Amy Okuda|Nikki SooHoo|Vivan Dugré|Trinity Noelle Maigue-Bendorf|Dylan C. Thomas,English,"North Hollywood, Los Angeles, California, USA"
Nekromantik 2 (1991),Horror,10-02-2015,USA,5.4,104 min,Monika M.|Mark Reeder|Lena Braun|Jörg Buttgereit|Carola Ewers|Astrid Ewerts|Florian Koerner von Gustorf|Käthe Kruse|Eva-Maria Kurz|Bernd Daktari Lorenz|Beatrice Manowski|Wolfgang Müller|Petra|Franz Rodenkirchen|Vanessa Salata,English|German,Germany
Wolf Creek 2 (2013),Horror,17-04-2014,USA,6.1,106 min,John Jarratt|Ryan Corr|Shannon Ashlyn|Philippe Klaus|Shane Connor|Ben Gerrard|Gerard Kennedy|Annie Byron|Lucy Bayet|Chloé Boreham|Sebastian Freeman|Ryan Clarke|Thomas Green|Maria Volk|Sarah Roberts,English|German,"Adelaide, South Australia, Australia"
The Hollow One (2015),Horror| Sci-Fi| Thriller,01-07-2017,USA,4.7,95 min,Kate Alden|Jesse James|Chelsea Farthing|Tony Doupe|Tonya M. Skoog|Simon Hamlin|Dawson Doupé|Russell Hodgkinson|Scott C. Brown|Anissa Davis|Richard Carmen|Jason Adkins|Willard Chase|Wayne Burns|Mike Dussault,English,"Duvall, Washington, USA"
Preservation (2014),Horror| Thriller,09-01-2015,USA,4.7,90 min,Wrenn Schmidt|Pablo Schreiber|Aaron Staton|Cody Saintgnue|Michael Chacon|Nick Saso|Nik,English,"Los Angeles, California, USA"
Fresh Meat (2012),Comedy| Horror,25-10-2012,New Zealand,5.4,91 min,Temuera Morrison|Kate Elliott|Hanna Tevita|Nicola Kawana|Kahn West|Leand Macadaan|Ralph Hilaga|Jack Sergent-Shadbolt|Will Robertson|Richard Knowles|James Ashcroft|Andrew Foster|Phil Grieve|Thomas Rimmer|Tim Mansell,English,"Wellington, New Zealand"
Burning Bright (2010),Drama| Horror| Thriller,02-05-2012,Bahrain,5.9,86 min,Garret Dillahunt|Briana Evigan|Charlie Tahan|Peggy Sheffield|Mary Rachel Dudley|Tom Nowicki|Katie|Schicka|Kismet,English,"Club Ed Film Set - 150th Street E, Lancaster, California, USA"
The Canal (2014),Horror| Mystery| Thriller,10-10-2014,USA,5.9,92 min,Rupert Evans|Antonia Campbell-Hughes|Hannah Hoekstra|Kelly Byrne|Steve Oram|Calum Heath|Anneke Blok|Paddy Curran|Carl Shaaban|Alicja Ayres|Nick Devlin|Serena Brabazon|Myles Horgan|Conor Horgan|Natalie Radmall-Quirke,English,"Dublin, Ireland"
Camera Obscura (2017),Horror| Thriller,09-06-2017,USA,4.7,95 min,Christopher Denham|Nadja Bobyleva|Catherine Curtin|Chase Williamson|Noah Segan|Andrew Sensenig|Gretchen Lodge|Jeremy King|Dane Rhodes|David Jensen|Charlie Talbert|Carol Sutton|Lance E. Nichols|Hawn Tran|Cassandra Hierholzer,English,"Baton Rouge, Louisiana, USA"
Exeter (2015),Horror| Mystery| Thriller,01-01-2015,USA,4.6,91 min,Stephen Lang|Kevin Chapman|Kelly Blatz|Brittany Curran|Brett Dier|Gage Golightly|Nick Nicotera|Nick Nordella|Michael Ormsby|Malena Corso|Meredith Prunty|Ashley Tramonte|Hilary Pingle|Aaron Dorsey|Lindsay MacDonald,English,"Rhode Island, USA"
Starve (2014),Horror| Thriller,03-10-2014,Spain,4.8,98 min,Mariah Bonner|Bobby Campo|Catherine Cappiello|Dave Davis|Casey Dillard|Arial Esco|Kanisha Esco|Elise Fyke|Pam Greer|Leigh Hennessy|Cooper Huckabee|Bobby C. King|Isaiah LaBorde|Peter Lawson Jones|Johnny McPhail,English,"Mississippi, USA"
Dead Before Dawn 3D (2012),Adventure| Comedy| Horror,11-10-2012,Russia,5.1,88 min,Devon Bostick|Martha MacIsaac|Christopher Lloyd|Brandon Jay McLaren|Brittany Allen|Kyle Schmid|Tim Doiron|April Mullen|Kevin McDonald|Ellen Dubin|Rossif Sutherland|Dru Viergever|Benjamin Ayres|Max Topplin|Marty Adams,English,"Niagara Falls, Ontario, Canada"
Mockingbird (2014),Horror| Thriller,07-10-2014,USA,4.1,81 min,Alexandra Lydon|Todd Stashwick|Audrey Marie Anderson|Barak Hardley|Colby French|Lee Garlington|Spencer List|Alyvia Alyn Lind|Emily Alyn Lind|Adriane Rogers|Earnestine Phillips|Danny Vasquez|Mel Cowan|Yelyna De Leon|David Michie,English,"Los Angeles, California, USA"
They're Watching (2016),Comedy| Horror| Thriller,25-03-2016,USA,5.7,95 min,Brigid Brannagh|David Alpay|Kris Lemche|Carrie Genzel|Mia Marcon|Dimitri Diatchenko|Cristian Balint|Mircea Constantinescu|Cici Caraman|George Grigore|Bogdan Adrian|Adrian Anghel|Puiu Mircea Lascus|Bogdan Guta|Andreea Mateiu,English|Romanian,"Bucharest, Romania"
Avalanche Sharks (2014),Action| Horror| Sci-Fi,12-01-2014,USA,2.3,82 min,Alexander Mendeluk|Kate Nauta|Benjamin Easterday|Eric Scott Woods|Kelle Cantwell|Richard Gleason|Gina Holden|Jack Cullison|James Ouimet|Nicole Helen|Emily Addison|Mike Ruggieri|Erin Ross|Patrizia Cavaliere|Matt Gunther,English,"Mammoth Lakes, California, USA"
Evolution (2015),Horror| Mystery| Sci-Fi,25-11-2016,USA,6,81 min,Max Brebant|Roxane Duran|Julie-Marie Parmentier|Mathieu Goldfeld|Nissim Renard|Pablo-Noé Etienne|Nathalie Legosles|Chantal Aimée|Laura Ballesteros|Eric Batlle|Mafer Blanco|Anna Broock|Celestino Chacon|Annie Enganalim|Silvia Ferre,French,"Lanzarote, Canary Islands, Spain"
Machhli Jal Ki Rani Hai (2014),Horror,13-06-2014,India,4.4,120 min,Swara Bhaskar|Reema Debnath|Saurabh Dubey|Hritu|Abhinav Jain|Sakha Kalyani|Yug Mahnot|Avinash Mukkanawar|Saandesh Nayak|Hemant Pandey|Deep Raj Rana|Satyajeet|Murli Sharma|Resham Thakkar|Bhanu Uday,Hindi,"Pachmahri, Madhya Pradesh, India"
Dracula 3D (2012),Horror| Romance| Thriller,04-10-2013,USA,3.6,110 min,Thomas Kretschmann|Marta Gastini|Asia Argento|Unax Ugalde|Miriam Giovanelli|Rutger Hauer|Maria Cristina Heller|Augusto Zucchi|Franco Ravera|Francesco Rossini|Giovanni Franzoni|Giuseppe Lo Console|Riccardo Cicogna|Christian Burruano|Eugenio Allegri,English|Italian|Spanish,"Biella, Piedmont, Italy"
The Final (2010),Drama| Horror| Thriller,07-02-2013,Bahrain,5.4,93 min,Marc Donato|Jascha Washington|Whitney Hoy|Justin Arnold|Lindsay Seidel|Julin|Laura Ashley Samuels|Travis Tedford|Eric Isenhower|Vincent Silochan|Preston Flagg|Hunter Garner|Ryan Hayden|Mark Nutter|Daniel Ross Owens,English,"Dallas, Texas, USA"
The Blood Lands (2014),Horror| Mystery| Thriller,01-09-2015,USA,4.7,79 min,Pollyanna McIntosh|Lee Williams|Joanne Mitchell|Garth Maunders|James McCreadie|Dominic Kay,English,"Manchester, Greater Manchester, England, UK"
It Came from the Desert (2017),Action| Comedy| Horror,01-01-2017,Finland,6.3,89 min,Mark Arnold|Vanessa Grasse|Claudia Trujillo|Harry Lister Smith|Alex Mills|James Alper|Callum McGowan|Ari Savonen|Aino Sirje|Ross Ellis|Andrew Horton|Michael Majalahti|Gregory Rowbottom|Juha-Pekka Mikkola|Jose Varela,English,"Almeria, Andalucia, Spain"
Night of Something Strange (2016),Comedy| Horror,22-11-2016,USA,4.7,94 min,Trey Harrison|Rebecca C. Kasek|Wayne W. Johnson|Michael Merchant|Toni Ann Gambale|Nicola Fiore|John Walsh|Janet Mayson|Tarrence Taylor|Kera O'Bryon|Wes Reid|Billy Garberina|Al Lawler|Kirk LaSalle|David Meadows,English,"Stephens City, Virginia, USA"
Some Kind of Hate (2015),Horror,18-09-2015,USA,4.5,82 min,Andrew Bryniarski|Justin Prentice|Ronen Rubinstein|Matt Beene|Josh Ethier|Michael Polish|Gracie Gillam|Maestro Harrell|Lexi Atkins|Brando Eaton|Jeremy Hawkins|Jasper Polish|Spencer Breslin|Sierra McCormick|Dave Reeves,English,"Santa Clarita, California, USA"
Strippers vs Werewolves (2012),Comedy| Horror,24-11-2012,USA,3.1,93 min,Adele Silva|Martin Compston|Billy Murray|Ali Bastian|Barbara Nedeljakova|Sarah Douglas|Simon Phillips|Martin Kemp|Alan Ford|Charlie Bond|Nick Nevern|Rita Ramnani|Steven Berkoff|Robert Englund|Lysette Anthony,English,"Croydon, UK"
Blood Punch (2014),Horror| Thriller,21-02-2014,USA,6.5,104 min,Milo Cawthorne|Olivia Tennet|David Whaley|Bloss Flores|Fleur Saville|Mike Ginn|Thomas Hart|Amanda Reed|Ari Boyland|Adelaide Kane|Cohen Holloway|Mike Tristano|Fred Schaefer,English,"Idyllwild, California, USA"
Death Do Us Part (2014),Horror| Thriller,15-04-2014,USA,4.3,89 min,Julia Benson|Peter Benson|Emilie Ullerup|Christine Chatelain|Kyle Cassie|Benjamin Ayres|Dave Collette|Aaron Douglas|Viv Leacock|Willis Horst,English,"Sunshine Coast, British Columbia, Canada"
Aftermath (2015),Horror| Thriller,27-03-2015,USA,4.7,92 min,C.J. Thomason|Monica Keena|Edward Furlong|Andre Royo|Cree Kelly|Jessie Rusu|Ross Britz|Tody Bernard|Kennon Kepper|William Baldwin|Randal Reeder|Bo Mitchell|Bobbi Sue Luther|Ted Ferguson|Alexander B. Williams,English,"New Orleans, Louisiana, USA"
Dark Signal (2016),Horror| Mystery| Thriller,02-06-2017,USA,4.3,98 min,Siwan Morris|Gareth David-Lloyd|Joanna Ignaczewska|Duncan Pow|Cinzia Monreale|Eleanor Gecks|James Cosmo|Sioned Jones|Amelie Leroy|Kai Coleman|Jennifer Moylan-Taylor|Malcolm Raeburn|Douglas Durdle|Genna Loskutnikov|Luing Andrews,English,"Ruabon, Wrexham, Wales, UK"
Wtf! (2017),Horror,01-08-2017,USA,4,80 min,Callie Ott|Nicholas James Reilly|Andrea Hunt|Benjamin Norris|Sarah Agor|Adam Foster|Johnny James Fiore|Perez Hilton|Shawn C. Phillips|Chloe Berman|Cheyann Dillon|Nicolle Blair|Adam Blake|Anna Sambrooks|Antonios Antoniadis,English,"Los Angeles, California, USA"
Poultrygeist: Night of the Chicken Dead (2006),Comedy| Horror| Musical| Sci-Fi,06-07-2012,USA,6.2,103 min,Jason Yachanin|Kate Graham|Allyson Sereboff|Robin L. Watkins|Joshua Olatunde|Caleb Emerson|Rose Ghavami|Khalid Rivera|Joe Fleishaker|Lloyd Kaufman|Ron Jeremy|Faith Sheehan|John Karyus|Tessa Lew|Brian Cheverie,English,"New York, USA"
Halloween Pussy Trap Kill Kill (2017),Horror,27-10-2017,USA,3.6,86 min,Richard Grieco|Sara Malakul Lane|Margaret O'Brien|Dave Mustaine|Randal Malone|Paul Logan|Demetrius Stear|Lauren Parkinson|Nicole Sterling|Kelly Lynn Reiter|Kelly McCart|Tristan Ott|Tim Casper|David Oakes|Jed Rowen,English,"Downtown Los Angeles, California, USA"
Never Hike Alone (2017),Horror| Thriller,13-10-2017,USA,7.8,22 min,Drew Leighty|Vincente DiSanti|Katie Schwartz|Robert DuBois|Thom Mathews|Sean Richards,English,"San Bernardino National Forest, California, USA"
When Animals Dream (2014),Drama| Horror| Mystery,28-08-2015,USA,5.8,84 min,Sonia Suhl|Lars Mikkelsen|Sonja Richter|Jakob Oftebro|Stig Hoffmeyer|Mads Riisom|Esben Dalgaard Andersen|Gustav Dyekjær Giese|Benjamin Boe Rasmussen|Tina Gylling Mortensen,Danish,"Thyborøn, Jylland, Denmark"
Intruder (2016),Horror| Thriller,24-06-2016,USA,3.4,88 min,Louise Linton|John Robinson|Moby|Zach Myers|Mary McDonald-Lewis|Susannah Mars|Steven Beckingham|Teresa Decher|Ire Wardlaw|Aaron Trainor|Jillian Rabe|Dakota Zariwny,English,"Portland, Oregon, USA"
Krampus: The Christmas Devil (2013),Action| Horror| Thriller,17-08-2013,USA,1.7,82 min,Jay Dobyns|Paul Ferm|Andrew Ferrick|Darin Foltz|Richard Goteri|Mark Hensel|Samantha Hoepfl|Emily Kessler|Annette Lawless|Angelina Leigh|A.J. Leslie|John Marazza|Mike Merrell|Michael Mili|Miki Mili,English,"Erie, Pennsylvania, USA"
Dead 7 (2016),Comedy| Horror| Western,01-04-2016,USA,3.1,89 min,Nick Carter|Carrie Keagan|Joey Fatone|Jeff Timmons|A.J. McLean|Erik-Michael Estrada|Lauren Kitt Carter|Chloe Lattanzi|Debra Wilson|Howie Dorough|Chris Kirkpatrick|Jon Secada|Frenchie Davis|Dylan Vox|Art Alexakis,English,"Butte, Montana, USA"
The Terror of Hallow's Eve (2017),Drama| Fantasy| Horror| Thriller,01-01-2017,USA,5.6,80 min,Caleb Thomas|Sarah Lancaster|Annie Read|JT Neal|Mcabe Gregg|Niko Papastefanou|Doug Jones|Kent Kasper|Christie Nicole Chaplin|Christian Kane|Brett Stimely|Eric Roberts|Reatha Grey|Jade Warner|Jentzen Ramirez,English,"Santa Clarita, California, USA"
Exists (2014),Action| Adventure| Horror,03-10-2014,USA,5.2,81 min,Chris Osborn|Dora Madison|Roger Edwards|Denise Williamson|Samuel Davis|Brian Steele|Jeff Schwan|George P. Gakoumis Jr.|Stefanie Sanchez,English,"Spiderwood Studios, Austin, Texas, USA"
ABCs of Death 2 (2014),Comedy| Horror,02-10-2014,USA,5.4,125 min,Eric Jacobus|Andy Nyman|Simon Barrett|Teela Cull|Kelsey Hudson|Stefanie Wood|Xin Sarith Wuku|Ben Maccabee|Jason Cabell|Josh Ethier|David Gutierrez|Giovannie Dixon|Julian Barratt|Will Adamsdale|Matthew Steer,English|Japanese|Hebrew|Portuguese|French|Arabic|Filipino|German,Lithuania
Come Back to Me (2014),Fantasy| Horror| Mystery| Thriller,25-07-2014,USA,5.9,90 min,Jon Abrahams|Andrew Beckham|Jeanette Branch|Caroline Clements|Laura Gordon|Nathan Keyes|Matt Passmore|Brian Patacca|Steve Rizzo|Alexandra Straus|Katie Walder|Maura West|Peter S. Williams,English,"Santa Clarita, California, USA"
Blood Feast (2016),Horror,23-06-2017,USA,8.2,90 min,Robert Rusler|Caroline Williams|Sophie Monk|Sadie Katz|Roland Freitag|Wilfried Capet|Max Evans|Annika Strauss|Liliana Nova|Metisha Schaefer|Gioele Viola|Herschell Gordon Lewis|Enya Maria Tames|Sophie Vollmar|Marc Rohnstock,English,"Paris, France"
Strip Club Massacre (2017),Horror| Thriller,02-05-2017,USA,3.2,101 min,Alicia Watson|Erin Brown|Courtney Riggs|Mark Law|Stefan Rollins|Layla Heather Pendley|Garrett Able|Brett Lee Clark|Nichole Dree|Mary Kilroy|Haley Leary|Jason McDaniel|Danielle Page|Eric E. Poe|Daniel Patrick Shook,English|English,"Johns Creek, Georgia, USA"
The Boy (2015),Drama| Horror| Thriller,14-03-2015,USA,5.5,105 min,David Morse|Jared Breeze|Rainn Wilson|Bill Sage|Mike Vogel|Zuleikha Robinson|Aiden Lovekamp|David Valencia|Sam Morse|Andres Echavarria|Maria Luisa Ruiz|Amalia Santa Maria|Manuela Guerra|Hong Kyu Park|Victoria Escobar,English,Colombia
[REC] 3: Genesis (2012),Horror| Romance,30-03-2012,Spain,5,80 min,Leticia Dolera|Diego Martín|Ismael Martínez|Àlex Monner|Borja Glez. Santaolalla|Emilio Mencheta|David Ramírez|Miguel Ángel González|Ramón Agirre|Xavier Ruano|José de la Cruz|Antonio Barroso|Toni Sans|Aitor Legardón|Paco Moreno,Spanish|Catalan|French,"Orrius, Barcelona, Catalonia, Spain"
Jeruzalem (2015),Horror,07-07-2016,Israel,4.7,94 min,Yael Grobglas|Yon Tumarkin|Danielle Jadelyn|Tom Graziani|Sarel Piterman|Howard Rypp|Ami Smolartchik|Yoav Koresh|Ori Zaltzman|Fares Hananya|Itsko Yampulski|Mel Rosenberg|Danny Zahavi|Moran Zelma|Salim,English,"Jerusalem, Israel"
Bed of the Dead (2016),Horror,03-12-2016,USA,4.8,88 min,Colin Price|Alysa King|Gwenlyn Cumyn|Dennis Andres|George Krissa|Hamza Fouad|Alex Loubert|Mary-Elizabeth Willcott|Craig Cyr|Tom Marasovic|Dwayne Bryshun|Samantha Cole|Blair Anderson|Hailey Kittle|Emma Chwastiak,English,"Hamilton, Ontario, Canada"
The Blackburn Asylum (2015),Horror,02-08-2016,USA,3.9,84 min,Sarah Lind|Zack Peladeau|Emilie Ullerup|Calum Worthy|Alexander Calvert|Joyce Robbins|Jacqueline Robbins|Maja Aro|Ken Kirzinger|Brad Loree|Mike Dopud|Brandi Alexander|Lochlyn Munro|Rebecca Husain|Eliya Rose Felix-Neuwirth,English,"Britannia Beach, British Columbia, Canada"
Peelers (2016),Horror,28-03-2017,USA,4.4,95 min,Wren Walker|Caz Odin Darko|Madison J. Loos|Cameron Dent|Al Dales|Momona Komagata|Kirsty Peters|Nikki Wallin|Victoria Gomez|Rafael Mateo|Donovan Wolf|Edwin Perez|Andrea Rosolia|Manny Jacinto|Emma Docker,English,"Vancouver, British Columbia, Canada"
The Harvest (2013),Drama| Horror| Mystery| Thriller,10-04-2015,USA,6,104 min,Samantha Morton|Michael Shannon|Natasha Calis|Charlie Tahan|Peter Fonda|Leslie Lyles|Meadow Williams|Journey Smith|Maria Farrow|Ashley Ingram|Nolan Lyons|Amina Robinson,English,"New York, USA"
Journey to the West (2013),Action| Adventure| Comedy| Drama| Fantasy| Horror| Romance,07-02-2013,China,6.8,110 min,Qi Shu|Zhang Wen|Bo Huang|Show Lo|Sheung-ching Lee|Bingqiang Chen|Sihan Cheng|Xing Yu|Zhengyu Lu|Chi Ling Chiu|Di Yang|Chrissie Chau|Hangyu Ge|Min Hun Fung|Lun Yeung,Mandarin,"Heng Dian, China"
Dead Story (2017),Horror,20-01-2017,USA,5,81 min,Kelsey Deanne|Chase Austin|Melissa Alouf|Jay Bowles|Olivia Denton|Nerissa Hart|Hope Holguin|Jason Mcroberts|Charlie Pearce|Christopher Phipps|Sheril Rodgers|Suneel Tripuraneni|Terry Vanderheyden|Dougie Vee|Jessica Willis,English,"Celina, Texas, USA"
Honeymoon (2015),Horror| Thriller,21-10-2016,Mexico,4.7,96 min,Hector Kotsifakis|Paulina Ahmed|Alberto Agnesi|Dunia Alexandra|Diego Cohen|Stephanie de la Cruz|Santiago Ortega,Spanish,"Mexico City, Distrito Federal, Mexico"
All Cheerleaders Die (2013),Fantasy| Horror,08-05-2014,USA,5.1,89 min,Sidney Allison|Charon R. Arnold|Shay Astar|Sam Bean|Nicholas Bloom|Nadia Boceski|Michael Bowen|Shane Bowen|Brooke Butler|Amanda Grace Benitez|Felisha Cooper|Brandon Hampton|Jesse Hlubik|Reanin Johannink|Margarito,English,"Los Angeles, California, USA"
Dead Snow 2: Red vs. Dead (2014),Action| Comedy| Horror,07-10-2014,USA,6.9,100 min,Vegar Hoel|Ørjan Gamst|Martin Starr|Jocelyn DeBoer|Ingrid Haas|Stig Frode Henriksen|Hallvard Holmen|Kristoffer Joner|Amrita Acharia|Derek Mears|Bjarte Tjøstheim|Christian Rubeck|Charlotte Frogner|Jesper Sundnes|Tage Guddingsmo,Norwegian|English|German,Iceland
#Horror (2015),Drama| Horror| Mystery| Thriller,20-11-2015,USA,3.1,101 min,Emma Adler|Jessica Blank|Ted Christensen|Annabelle Dexter-Jones|Balthazar Getty|Lydia Hearst|Timothy Hutton|Sadie Jensen-Blank|Blue Lindeberg|Natasha Lyonne|Taryn Manning|Mackenzie G. Mauro|Bridget McGarry|Haley Murphy|Brenna Perez,English,"Bedford, New York, USA"
The Curse of Downers Grove (2015),Drama| Horror| Mystery| Thriller,21-08-2015,USA,4.5,89 min,Bella Heathcote|Lucas Till|Helen Slater|Penelope Mitchell|Mark L. Young|Zane Holtz|Martin Spanjers|Jeff Staron|Marcus Giamatti|Tom Arnold|Kevin Zegers|Sean A. Rosales|Joel Michael Kramer|Steven Martini|Jason Dubin,English,"243 E Holt Ave Pomona, California, USA"
Dark House (2014),Horror| Thriller,04-03-2014,USA,4.7,102 min,Luke Kleintank|Alex McKenna|Anthony Rey|Zack Ward|Lacey Anzelc|Ethan S. Smith|Lesley-Anne Down|Tobin Bell|Charles Agron|Tonya Carter|Brandon Smith|Daniel Ross Owens|Max Gail|Patricia Belcher|Tony Sanford,English,"360 Main St, Greenville, Mississippi, USA"
